sample,subject,condition,mmse
0,0,two_back,1.5202139895995515
1,0,two_back,1.5893766901812105
2,0,two_back,1.5847952646678862
3,0,two_back,1.5704821735246046
4,0,two_back,1.6212606213271386
5,0,two_back,1.403194957973
6,0,two_back,1.4681321105832625
7,0,two_back,1.5274136984750746
8,0,two_back,1.5887076923932186
9,0,two_back,1.6023861191757354
10,0,two_back,1.4820431951401363
0,0,no_back,1.4972627189029606
1,0,no_back,1.526008407696132
2,0,no_back,1.5050526772466921
3,0,no_back,1.5988916903542696
4,0,no_back,1.2631469072852646
5,0,no_back,1.409431058172036
6,0,no_back,1.4883193503618106
7,0,no_back,1.5459245067117746
8,0,no_back,1.4499509334488598
9,0,no_back,1.3533409913765286
10,0,no_back,1.2012506971740573
0,1,two_back,1.5209464701629527
1,1,two_back,1.5987680003669884
2,1,two_back,1.5639646427289025
3,1,two_back,1.751820392689583
4,1,two_back,1.6943583241857303
5,1,two_back,1.568774983316572
6,1,two_back,1.5287423322611542
7,1,two_back,1.731802156292801
8,1,two_back,1.765719105980485
9,1,two_back,1.6816403931030661
10,1,two_back,1.5425157629070878
0,1,no_back,1.6663785722587168
1,1,no_back,1.604031388735458
2,1,no_back,1.572244992663685
3,1,no_back,1.6051513758092375
4,1,no_back,1.622538699565072
5,1,no_back,1.615206242067291
6,1,no_back,1.6705502250050355
7,1,no_back,1.6003587420013032
8,1,no_back,1.5896933298037403
9,1,no_back,1.648812698860533
10,1,no_back,1.6213138398329126
0,2,two_back,1.4882195204947068
1,2,two_back,1.4580640253487305
2,2,two_back,1.4994893812893146
3,2,two_back,1.603081056670358
4,2,two_back,1.592663633701827
5,2,two_back,1.677854446518478
6,2,two_back,1.6794010368540082
7,2,two_back,1.6030644424375315
8,2,two_back,1.6389277548162005
9,2,two_back,1.639956330669575
10,2,two_back,1.566783306240657
0,2,no_back,1.5862103767109403
1,2,no_back,1.4433559491661625
2,2,no_back,1.4284478806537892
3,2,no_back,1.4260793809206957
4,2,no_back,1.4518672864983146
5,2,no_back,1.5182399956104522
6,2,no_back,1.5426314575223155
7,2,no_back,1.6304350855152092
8,2,no_back,1.630904370386537
9,2,no_back,1.5889714492870097
10,2,no_back,1.5501442357195634
0,3,two_back,1.1728300665857263
1,3,two_back,1.2459998872785114
2,3,two_back,1.6150615334729779
3,3,two_back,1.5071252186722923
4,3,two_back,1.2545496905786444
5,3,two_back,1.2141852332389558
6,3,two_back,1.2683048205582816
7,3,two_back,1.3934369029778673
8,3,two_back,1.3897532485664512
9,3,two_back,1.294261290559881
10,3,two_back,1.2635142839445068
0,3,no_back,1.391753249218517
1,3,no_back,1.3144570947808907
2,3,no_back,1.260749942204308
3,3,no_back,1.191327646160834
4,3,no_back,1.29789550647938
5,3,no_back,1.421783132963169
6,3,no_back,1.447619351358729
7,3,no_back,1.3843074098982961
8,3,no_back,1.3067097720226297
9,3,no_back,1.3205663636407958
10,3,no_back,1.2620381143149078
